,densidad de potencia,coordenadas,Longitude,Latitude,value
139,0.09,"-57.55978730022505,-38.01878448614261,20.78320895031055",-57.55978730022505,-38.01878448614261,20.78320895031055
140,1.628,"-57.5538210048076,-38.01838243916742,32.82554058904811",-57.5538210048076,-38.01838243916742,32.82554058904811
141,0.122,"-57.55467703313563,-38.01794972265629,33.20945119810796",-57.55467703313563,-38.01794972265629,33.20945119810796
142,0.4,"-57.55440581760618,-38.01914680603215,36.08443080290216",-57.55440581760618,-38.01914680603215,36.08443080290216
143,0.902,"-57.55268379819556,-38.01887227508648,38.07483660603704",-57.55268379819556,-38.01887227508648,38.07483660603704
144,0.68,"-57.55310751016815,-38.01762673835864,31.98562354615209",-57.55310751016815,-38.01762673835864,31.98562354615209
145,0.115,"-57.58129574972046,-38.01217195025423,19.45908106080289",-57.58129574972046,-38.01217195025423,19.45908106080289
146,0.563,"-57.57982241353104,-38.01259562766604,18.26980094567344",-57.57982241353104,-38.01259562766604,18.26980094567344
147,0.387,"-57.57882945372015,-38.01335918367758,14.97943672763917",-57.57882945372015,-38.01335918367758,14.97943672763917
148,0.176,"-57.57746056081366,-38.01435957751712,16.21946178135931",-57.57746056081366,-38.01435957751712,16.21946178135931
149,1.653,"-57.57686660931205,-38.01489354836667,18.08702735363001",-57.57686660931205,-38.01489354836667,18.08702735363001
150,0.284,"-57.57888785325578,-38.01549641201065,21.03879662279877",-57.57888785325578,-38.01549641201065,21.03879662279877
151,1.327,"-57.58078555022953,-38.01603576314164,24.50534544264211",-57.58078555022953,-38.01603576314164,24.50534544264211
152,1.061,"-57.58198900283693,-38.016339535335,22.66664289283436",-57.58198900283693,-38.016339535335,22.66664289283436
153,2.742,"-57.57895767405407,-37.99678859521311,18.1224552436662",-57.57895767405407,-37.99678859521311,18.1224552436662
154,1.265,"-57.57948863996442,-37.9974405265766,18.6862049321819",-57.57948863996442,-37.9974405265766,18.6862049321819
155,1.748,"-57.57842650869681,-37.99811457890653,17.56666100710853",-57.57842650869681,-37.99811457890653,17.56666100710853
156,0.884,"-57.57783600546691,-37.99720643722758,16.98527797198396",-57.57783600546691,-37.99720643722758,16.98527797198396
157,0.539,"-57.57685263236723,-37.99780132276314,18.44398502785045",-57.57685263236723,-37.99780132276314,18.44398502785045
158,5.34,"-57.57747921982382,-37.99854205501973,16.42949675625327",-57.57747921982382,-37.99854205501973,16.42949675625327
159,0.189,"-57.57643182709415,-37.99912682633157,17.63002904264857",-57.57643182709415,-37.99912682633157,17.63002904264857
160,1.884,"-57.5758510157489,-37.99832623538989,18.16641116781746",-57.5758510157489,-37.99832623538989,18.16641116781746
161,0.09,"-57.57479795178573,-37.9988538572434,14.42350611229353",-57.57479795178573,-37.9988538572434,14.42350611229353
162,0.265,"-57.57471009623569,-38.00221400334412,16.7202746001707",-57.57471009623569,-38.00221400334412,16.7202746001707
163,0.177,"-57.5741737685657,-38.00144697538057,18.04646627234519",-57.5741737685657,-38.00144697538057,18.04646627234519
164,0.108,"-57.57513260159001,-38.00094351847983,16.49755426656789",-57.57513260159001,-38.00094351847983,16.49755426656789
165,0.283,"-57.57452162794446,-38.00020557900096,15.77069743405803",-57.57452162794446,-38.00020557900096,15.77069743405803
166,0.06,"-57.57352337859651,-38.00066784233272,17.03853322235013",-57.57352337859651,-38.00066784233272,17.03853322235013
167,0.99,"-57.57544846845425,-37.99964723996989,16.15530112528193",-57.57544846845425,-37.99964723996989,16.15530112528193
168,0.078,"-57.57609972768531,-38.00040545944195,15.90121024033444",-57.57609972768531,-38.00040545944195,15.90121024033444
169,0.231,"-57.57677894419238,-38.00120739962738,17.80550282258521",-57.57677894419238,-38.00120739962738,17.80550282258521
170,0.212,"-57.57574670967956,-38.00176120636471,16.46575388914193",-57.57574670967956,-38.00176120636471,16.46575388914193
171,0.027,"-57.57287962022507,-37.99988264861683,15.90092106864225",-57.57287962022507,-37.99988264861683,15.90092106864225
172,0.012,"-57.57380956101206,-37.99935813386225,15.28231047654957",-57.57380956101206,-37.99935813386225,15.28231047654957
173,0.194,"-57.57319771427913,-37.99859075359375,15.91094605741329",-57.57319771427913,-37.99859075359375,15.91094605741329
174,0.152,"-57.57224138657588,-37.99906027528031,15.88194724106575",-57.57224138657588,-37.99906027528031,15.88194724106575
175,0.198,"-57.57165506310702,-37.9982981066997,18.6608877667036",-57.57165506310702,-37.9982981066997,18.6608877667036
176,0.326,"-57.57257607387857,-37.99785052667384,18.27965988986763",-57.57257607387857,-37.99785052667384,18.27965988986763
177,0.222,"-57.57190803533452,-37.99700648474943,18.40212006525342",-57.57190803533452,-37.99700648474943,18.40212006525342
178,1.692,"-57.57130949920619,-37.99625795635883,16.80846194362351",-57.57130949920619,-37.99625795635883,16.80846194362351
179,1.812,"-57.57036551075603,-37.99669433986319,13.63552114655401",-57.57036551075603,-37.99669433986319,13.63552114655401
180,0.202,"-57.57068000943912,-37.99544089715042,17.07399858443998",-57.57068000943912,-37.99544089715042,17.07399858443998
181,0.181,"-57.57228786394265,-37.995795821091,18.48306992350558",-57.57228786394265,-37.995795821091,18.48306992350558
182,0.273,"-57.57299445921119,-37.99652480993437,18.66667366054056",-57.57299445921119,-37.99652480993437,18.66667366054056
183,0.341,"-57.57354036113352,-37.99727726130571,17.94561030578419",-57.57354036113352,-37.99727726130571,17.94561030578419
184,0.164,"-57.57420459185651,-37.99804506747839,15.88192994038895",-57.57420459185651,-37.99804506747839,15.88192994038895
185,0.184,"-57.56024917841377,-38.00184312453241,16.00147527321827",-57.56024917841377,-38.00184312453241,16.00147527321827
186,0.133,"-57.5592997975744,-38.00227871764567,12.80672032383761",-57.5592997975744,-38.00227871764567,12.80672032383761
187,0.229,"-57.55811295347357,-38.00295712958318,14.22424467926696",-57.55811295347357,-38.00295712958318,14.22424467926696
188,0.115,"-57.55709279989228,-38.00336435673402,13.91024872376889",-57.55709279989228,-38.00336435673402,13.91024872376889
189,0.152,"-57.55609547353978,-38.00386354322887,13.8715695938481",-57.55609547353978,-38.00386354322887,13.8715695938481
190,0.106,"-57.55512198590705,-38.00435829076418,14.24451142794465",-57.55512198590705,-38.00435829076418,14.24451142794465
191,0.139,"-57.55409416389173,-38.00490359110808,13.22302551266153",-57.55409416389173,-38.00490359110808,13.22302551266153
192,0.197,"-57.55306345449424,-38.00533325735239,15.97198044890277",-57.55306345449424,-38.00533325735239,15.97198044890277
193,0.02,"-57.55211905307889,-38.00588978966146,19.06121172866563",-57.55211905307889,-38.00588978966146,19.06121172866563
194,0.015,"-57.55113407992539,-38.00640275859499,17.86364411632762",-57.55113407992539,-38.00640275859499,17.86364411632762
195,0.285,"-57.55011003249891,-38.00685121159025,17.75750408319042",-57.55011003249891,-38.00685121159025,17.75750408319042
196,0.263,"-57.54910669842929,-38.00737335598116,21.33295817375899",-57.54910669842929,-38.00737335598116,21.33295817375899
197,0.188,"-57.54812163082092,-38.00781245255251,22.23765178447413",-57.54812163082092,-38.00781245255251,22.23765178447413
198,0.063,"-57.5471364514675,-38.00840396652809,21.21266704806737",-57.5471364514675,-38.00840396652809,21.21266704806737
199,0.049,"-57.55502683055917,-38.00083436355838,16.97412722409476",-57.55502683055917,-38.00083436355838,16.97412722409476
200,0.086,"-57.55429497987124,-38.00157027471264,17.06165698462752",-57.55429497987124,-38.00157027471264,17.06165698462752
201,0.243,"-57.55308665425184,-38.00194883647882,20.83874040806648",-57.55308665425184,-38.00194883647882,20.83874040806648
202,0.205,"-57.55222980731467,-38.00257985383278,17.50133494594489",-57.55222980731467,-38.00257985383278,17.50133494594489
203,0.168,"-57.55130591271545,-38.00304702120114,19.38835542527",-57.55130591271545,-38.00304702120114,19.38835542527
204,0.173,"-57.55024494276191,-38.0035866665659,26.33962257959345",-57.55024494276191,-38.0035866665659,26.33962257959345
205,0.15,"-57.54923214249438,-38.00407749262128,24.70770131329935",-57.54923214249438,-38.00407749262128,24.70770131329935
206,0.117,"-57.54829886452809,-38.00457265569366,25.45529659285127",-57.54829886452809,-38.00457265569366,25.45529659285127
207,0.072,"-57.54721527816923,-38.00514874215079,31.43109941946434",-57.54721527816923,-38.00514874215079,31.43109941946434
208,0.102,"-57.54621762873468,-38.00560467271613,28.16653179930975",-57.54621762873468,-38.00560467271613,28.16653179930975
